Index,Id,Census_year,Geo_level,Geo_name,Metric,Total,Male,Female,Ridings,#ValueofVote,%ValueofVote,
0,2,2016,1,Newfoundland and Labrador,"Population, 2016",519716,...,...,7,1.36791,136.8,74245
1,10,2016,1,Prince Edward Island,"Population, 2016",142907,...,...,4,2.8693,286.9,35727
2,15,2016,1,Nova Scotia,"Population, 2016",923598,...,...,11,1.22184,122.2,83963
3,27,2016,1,New Brunswick,"Population, 2016",747101,...,...,10,1.38158,138.2,74710
4,38,2016,1,Quebec,"Population, 2016",8164361,...,...,78,0.993992,99.4,104671
5,117,2016,1,Ontario,"Population, 2016",13448494,...,...,121,0.938692,93.9,111145
6,239,2016,1,Manitoba,"Population, 2016",1278365,...,...,14,1.14311,114.3,91312
7,254,2016,1,Saskatchewan,"Population, 2016",1098352,...,...,14,1.32074,132.1,78454
8,269,2016,1,Alberta,"Population, 2016",4067175,...,...,34,0.867933,86.8,119623
9,304,2016,1,British Columbia,"Population, 2016",4648055,...,...,42,0.938481,93.8,110668
10,347,2016,1,Yukon,"Population, 2016",35874,...,...,1,2.87917,287.9,35874
11,349,2016,1,Northwest Territories,"Population, 2016",41786,...,...,1,2.47602,247.6,41786
12,351,2016,1,Nunavut,"Population, 2016",35944,...,...,1,2.87299,287.3,35944
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,1,100400